"The results listed on this page are from residential homes in Chicago that have requested to have their water tested for lead. The results are anonymized to the block level, so the complete address of each home is not posted. In cases where a sample tests over 15 parts per billion (the action limit set by the EPA), the Department of Water Management will contact the homeowner to discuss the results and schedule a time to resample the water and inspect the home’s plumbing and electrical wiring to better evaluate possible causes.",,,,,,,,,,,,,,,,,,
Follow-Up Sequential Sampling,,Sequential Draws,,,,,,,,,,,Timed,,,,,
Date Sampled,Address,1st Draw,2nd Draw,3rd Draw,4th Draw,5th Draw,6th Draw,7th Draw,8th Draw,9th Draw,10th Draw,11th Draw,3 Minute,5 Minute,7 Minute,10 Minute,15 Minute,20 Minute
10/24/2019,105XX S Emerald ,3.67,6.74,11.5,6.66,9.31,10.8,7.57,7.22,8.93,8.87,3.33,2.11,,,,,
10/29/2019,105XX S Homan Ave,5.43,5.43,5.61,5.82,5.25,9.74,11.40,12.20,12.60,12.70,13.70,2.37,,,,,
3/13/2020,105XX S Kedzie Ave,5.35,6.02,6.93,14.50,20.20,21.90,20.10,18.40,16.90,15.00,12.80,8.62,2.65,2.33,2.24,,
11/4/2021,105XX S Kedzie Ave,9.65,14.20,12.10,13.50,17.00,17.40,16.60,15.90,15.90,15.50,12.30,7.46,6.88,6.48,6.84,,
10/8/2019,105XX S Oakley Ave,10.60,15.60,15.80,20.40,22.20,21.40,21.90,21.90,19.60,21.60,20.70,18.50,15.10,7.22,6.58,,
8/30/2021,105XX S Seeley Ave,4.41,4.53,4.89,4.21,4.68,5.29,6.13,7.05,8.52,9.30,8.52,9.56,3.66,2.29,1.94,,
6/15/2021,106XX S Aberdeen St,8.60,10.00,6.30,4.70,5.40,7.60,4.60,5.50,6.20,4.50,,2.20,2.10,1.90,1.90,2.50,
10/19/2021,106XX S Church St,2.71,5.26,10.10,11.40,12.70,12.50,12.30,11.20,10.70,9.07,6.32,2.59,,,,,
9/10/2019,106XX S Drake Ave,4.17,3.63,4.17,5.19,13.70,18.70,17.10,15.20,16.40,16.90,15.30,1.96,,,,,
11/30/2021,106XX S Eberhart Ave,14.00,14.10,14.30,14.10,14.10,14.10,13.10,11.40,14.70,26.20,26.60,7.94,3.42,3.51,2.83,,
1/25/2022,106XX S Eberhart Ave,5.70,6.20,9.90,9.50,10.00,12.00,11.00,11.00,9.60,8.30,,2.80,,,,,
7/22/2016,106XX S Leaveitt St**,24.80,20.40,32.50,33.8,37.20,50.80,59.50,57.10,48.70,39.60,28.60,20.60,,,,,
12/23/2016,106XX S Leaveitt St**,2.71,3.91,3.9,4.3,4.85,5,5.51,6.88,7.74,7.5,<1,<1,,,,,
12/3/2019,106XX S Normal Ave ,7.05,8.70,8.74,9.00,9.32,10.50,10.70,10.50,10.70,10.80,7.42,6.29,5.74,5.46,5.11,,
3/6/2019,106XX S Talman ,5.70,5.62,6.34,7.33,12.9,25.3,,15.9,14.9,14.5,,11.9,10.7,4.76,2.91,,
2/25/2017,107XX S Avenue O ,10.70,8.75,7.21,10.3,15,19.7,16.6,15,14.9,16,3.6,1.49,,,,,
6/15/2021,107XX S Buffalo Ave,6.80,30.00,23.00,21.00,13.00,8.30,13.00,13.00,7.90,6.60,,6.30,5.80,,,,
9/12/2017,107XX S Champlain Ave,6.46,7.30,8.9,9.57,12.7,21,18.9,27.1,19.7,11.9,9.87,8.54,,,,,
10/21/2019,107XX S Dr Martin Luther King Jr Dr,2.67,2.53,3.76,7.81,9.67,13.2,17.1,18.6,19.5,15.7,8.67,2.48,,,,,
10/5/2016,107XX S Spaulding Ave,7.91,7.79,7.05,9.33,9.54,12.1,12.4,12.3,10.8,9.95,8.88,7.08,,,,,
5/20/2019,107XX S Talman ,2.79,5.03,5.34,3.99,4.03,4.09,4.38,8.2,10.9,11,1.44,1.3,,,,,
6/21/2021,107XX S Wallace St,5.20,8.60,9.00,9.00,9.40,11.00,10.00,9.70,8.80,9.00,,6.70,6.20,5.90,5.60,5.40,
5/15/2019,107XX S Washtenaw ,2.03,2.19,3.48,3.6,3.29,3.28,4.44,6.96,8.1,6.9,6.38,1.94,,,,,
12/19/2019,108XX S Avenue F,6.56,6.92,7.91,17.50,17.80,12.70,11.00,11.40,11.90,11.30,7.73,1.81,,,,,
9/4/2019,108XX S Central Park Ave,10.80,6.76,5.44,5.52,9.67,15.60,20.70,23.40,23.10,21.60,8.47,5.08,,,,,
2/22/2020,108XX S Drake Ave,2.88,3.62,3.17,3.17,2.74,3.42,4.10,5.05,8.34,7.76,6.32,1.00,,,,,
12/6/2021,108XX S Eggleston Ave,<1,<1,1.05,<1,1.85,2.44,1.75,3.60,5.13,2.86,<1,<1,,,,,
1/28/2020,108XX S Green St,2.47,3.57,3.91,3.92,3.83,3.87,3.91,3.82,3.65,3.47,3.00,1.57,,,,,
3/2/2022,108XX S Hamlin Ave,3.42,3.98,7.03,6.60,6.12,5.22,4.56,4.37,4.42,4.26,3.45,1.08,<1,<1,<1,,
