CAMNT,sm001,sm002,sm003,sm004,sm005,sm008,sm009,sm010,sm011,sm012,sm013,sm016,sm017,sm018,sm019,sm020,sm024,sm025,sm026,sm027
CAMNT_0024159059,16,18,8,10,12,3,15,4,2,10,12,9,4,17,13,12,8,13,17,10
CAMNT_0024159077,32,33,40,54,45,53,74,29,18,33,45,132,28,46,19,45,34,35,25,30
CAMNT_0024159153,6,25,6,14,14,17,15,10,24,12,14,20,10,16,25,14,26,24,37,8
CAMNT_0024159171,50,29,21,14,27,12,12,9,12,16,27,34,9,13,16,27,11,13,29,12
CAMNT_0024159975,19,23,14,17,9,13,18,17,8,17,9,34,15,14,14,9,17,11,14,11
CAMNT_0024159993,0,11,10,14,7,4,9,10,5,5,7,5,7,13,15,7,25,9,12,13
CAMNT_0024160431,12,10,11,12,9,16,18,5,9,6,9,10,4,15,10,9,13,12,15,1
CAMNT_0024160585,6,13,9,14,19,15,13,12,11,4,19,25,10,14,9,19,12,6,9,5
CAMNT_0024160613,11,12,11,19,15,12,6,8,16,7,15,22,8,12,6,15,10,11,16,22
CAMNT_0024160667,32,28,13,22,9,31,11,29,10,10,9,32,15,15,20,9,11,17,10,13
CAMNT_0024160847,25,10,6,8,16,11,13,10,6,12,16,19,9,15,16,16,10,12,8,4
CAMNT_0024161023,15,15,11,25,22,17,8,9,10,7,22,17,12,26,12,22,9,4,7,8
CAMNT_0024161045,13,19,8,12,10,6,7,7,12,4,10,6,8,13,6,10,9,10,15,9
CAMNT_0024161047,16,10,15,10,12,11,2,9,9,9,12,10,6,6,9,12,12,15,12,8
CAMNT_0024161251,12,19,8,18,9,4,5,13,10,8,9,2,13,11,16,9,5,9,16,13
CAMNT_0024161679,15,18,10,12,18,10,16,13,12,16,18,17,5,17,18,18,19,28,9,5
CAMNT_0024161733,11,13,13,10,14,15,18,14,17,21,14,17,16,26,24,14,20,16,18,23
CAMNT_0024162135,9,12,9,17,6,15,6,7,6,12,6,15,10,3,14,6,9,5,17,7
CAMNT_0024162233,24,39,17,16,15,17,22,6,12,16,15,33,22,25,34,15,32,23,15,11
CAMNT_0024162399,9,14,17,15,8,3,6,9,9,8,8,14,12,3,10,8,4,9,1,7
CAMNT_0024162527,26,32,27,11,12,5,15,20,9,13,12,21,16,8,17,12,7,14,12,17
CAMNT_0024163117,16,15,6,4,12,11,14,14,5,13,12,5,15,17,14,12,13,23,10,13
CAMNT_0024163147,7,7,11,12,10,19,4,15,15,17,10,13,10,10,13,10,5,5,9,3
CAMNT_0024163251,21,20,10,11,10,15,7,17,2,9,10,16,12,0,18,10,10,8,4,7
CAMNT_0024163317,8,27,40,30,27,13,14,39,19,38,27,7,8,22,36,27,6,5,22,33
CAMNT_0024163449,4,16,6,16,10,7,1,13,5,8,10,10,20,6,17,10,13,17,14,10
CAMNT_0024163535,25,14,9,19,18,14,14,14,20,10,18,23,17,9,18,18,14,17,13,9
CAMNT_0024163689,11,23,22,18,14,9,7,13,19,16,14,18,3,19,14,14,25,13,20,20
CAMNT_0024163867,8,12,6,18,9,6,12,14,8,12,9,9,6,22,22,9,7,16,16,13
CAMNT_0024163901,10,14,5,13,5,5,14,12,12,22,5,27,11,2,8,5,2,2,11,14
CAMNT_0024163951,18,21,8,19,12,19,11,9,8,8,12,16,14,3,3,12,14,16,13,2
CAMNT_0024164177,19,31,21,20,17,25,10,16,13,27,17,30,7,22,34,17,21,27,22,18
CAMNT_0024164379,271,250,193,388,250,284,197,248,186,212,250,529,277,227,266,250,177,271,170,208
CAMNT_0024164441,14,10,19,21,12,15,10,14,19,17,12,11,11,10,14,12,20,13,10,8
