CAMNT,sm001,sm002,sm003,sm004,sm005,sm008,sm009,sm010,sm011,sm012,sm013,sm016,sm017,sm018,sm019,sm020,sm024,sm025,sm026,sm027
CAMNT_0023928115,214,376,204,347,411,237,262,198,199,229,411,394,299,277,251,411,288,221,256,230
CAMNT_0023928149,56,40,28,37,27,112,76,50,26,23,27,169,76,45,35,27,61,73,66,29
CAMNT_0023928253,30,45,11,38,38,28,16,29,23,19,38,15,9,31,16,38,21,28,11,10
CAMNT_0023928285,12,12,11,11,15,13,3,13,9,14,15,7,8,7,23,15,16,11,6,11
CAMNT_0023928443,210,215,216,266,338,286,225,231,174,186,338,523,897,316,246,338,243,263,235,134
CAMNT_0023928547,27,20,13,14,18,20,11,10,6,14,18,18,12,6,34,18,15,18,13,9
CAMNT_0023928667,10,21,71,70,39,1,3,35,37,55,39,1,7,17,54,39,3,7,21,42
CAMNT_0023928719,20,13,8,21,13,7,5,8,19,10,13,20,12,6,19,13,18,18,13,7
CAMNT_0023928739,31,50,29,149,164,107,63,47,58,40,164,133,71,70,25,164,81,69,32,27
CAMNT_0023928805,13,8,15,25,24,14,18,31,17,23,24,9,6,12,18,24,9,13,16,11
CAMNT_0023928835,5,10,12,7,10,11,18,3,10,9,10,3,4,14,7,10,16,10,6,7
CAMNT_0023929429,4,6,9,8,12,7,9,11,12,13,12,14,10,1,7,12,17,9,10,9
CAMNT_0023929473,13,18,12,24,13,11,7,17,13,11,13,16,11,18,13,13,14,15,8,7
CAMNT_0023929657,11,13,10,18,9,7,6,6,6,10,9,17,9,4,10,9,6,6,8,3
CAMNT_0023929677,46,37,36,60,60,27,23,35,33,31,60,32,14,38,42,60,32,28,32,25
CAMNT_0023929871,30,27,22,24,19,23,30,20,18,22,19,16,18,50,32,19,39,22,30,41
CAMNT_0023929907,23,19,15,34,25,24,21,6,10,7,25,40,21,20,11,25,12,17,13,26
CAMNT_0023929931,13,14,22,8,10,14,10,13,4,6,10,6,3,4,11,10,4,14,10,8
CAMNT_0023929945,9,23,15,21,12,21,10,16,13,19,12,19,28,14,27,12,10,20,25,9
CAMNT_0023930047,30,10,11,10,16,26,9,23,10,13,16,30,19,11,11,16,17,15,18,4
CAMNT_0023930147,45,74,49,76,34,48,43,93,52,47,34,71,60,71,87,34,51,70,69,48
CAMNT_0023930169,24,19,10,24,8,8,12,23,29,16,8,18,10,15,16,8,5,12,5,14
CAMNT_0023930305,18,21,11,20,24,26,6,15,9,14,24,23,23,15,16,24,14,22,16,12
CAMNT_0023930745,9,13,9,12,7,10,5,17,9,12,7,14,5,9,11,7,6,14,8,4
CAMNT_0023930961,10,17,4,10,13,6,11,15,8,15,13,9,7,10,5,13,8,7,7,2
CAMNT_0023930993,25,22,16,44,42,47,25,31,20,20,42,33,29,31,21,42,30,20,17,9
CAMNT_0023931153,13,33,14,16,4,6,4,20,12,30,4,1,6,22,23,4,3,0,20,8
CAMNT_0023931251,23,15,4,15,35,21,21,7,14,6,35,26,17,28,20,35,9,14,16,4
CAMNT_0023931381,9,10,15,7,20,15,9,13,10,16,20,14,11,18,29,20,16,16,20,14
CAMNT_0023931405,7,14,21,20,13,9,3,11,10,15,13,19,8,8,16,13,9,9,12,12
CAMNT_0023931433,19,43,36,53,45,40,28,42,29,36,45,52,27,51,23,45,25,23,43,34
CAMNT_0023931527,27,23,11,19,22,23,13,16,10,19,22,21,18,6,39,22,15,18,12,10
CAMNT_0023931561,26,39,32,33,26,29,37,36,26,30,26,34,20,40,24,26,26,30,40,26
CAMNT_0023931583,5,11,9,11,6,10,7,13,8,8,6,8,9,9,12,6,20,7,17,3
CAMNT_0023931587,34,55,21,21,13,34,31,34,15,33,13,42,18,7,12,13,18,28,15,24
CAMNT_0023931853,3,20,49,19,1,2,4,17,25,50,1,3,3,41,55,1,0,4,10,48
CAMNT_0023931855,10,14,24,23,17,10,13,18,15,16,17,19,14,13,24,17,10,24,21,21
CAMNT_0023931995,23,17,19,22,24,53,15,17,3,19,24,26,16,17,10,24,39,24,9,12
CAMNT_0023932059,13,20,20,8,14,11,3,13,14,17,14,9,19,11,19,14,8,14,24,7
CAMNT_0023932201,20,45,102,60,10,14,14,45,40,104,10,30,37,49,138,10,31,18,41,102
CAMNT_0023932255,18,37,36,27,16,5,16,24,15,52,16,14,12,18,40,16,12,23,25,22
CAMNT_0023932381,63,75,76,34,34,17,18,43,35,34,34,60,34,14,44,34,22,86,50,48
CAMNT_0023932675,31,32,24,29,27,32,21,31,19,45,27,48,45,33,55,27,31,42,40,33
CAMNT_0023932821,13,12,17,9,9,13,15,11,5,17,9,15,15,3,11,9,12,13,11,10
CAMNT_0023932891,24,19,8,23,14,29,26,18,5,20,14,38,10,13,7,14,13,18,6,13
CAMNT_0023932913,29,20,24,30,11,25,19,23,15,20,11,27,20,11,19,11,16,21,27,31
CAMNT_0023932933,12,23,19,22,17,18,17,24,10,16,17,32,13,27,21,17,17,24,18,19
CAMNT_0023933063,14,15,7,15,9,19,30,16,10,15,9,15,16,7,22,9,7,22,20,18
CAMNT_0023933127,14,12,10,22,16,9,10,14,8,12,16,30,9,13,22,16,3,17,8,4
CAMNT_0023933135,3,13,6,17,28,26,13,16,7,6,28,29,24,22,8,28,9,7,17,6
CAMNT_0023933379,42,35,22,20,26,43,33,34,17,16,26,64,36,20,47,26,31,28,16,12
CAMNT_0023933483,29,33,23,34,23,31,17,41,17,22,23,21,21,29,22,23,16,29,29,22
CAMNT_0023933487,9,20,7,26,21,3,8,27,8,29,21,8,5,29,20,21,4,2,18,22
CAMNT_0023933591,44,69,41,64,40,42,39,48,29,58,40,40,39,42,53,40,34,72,69,46
CAMNT_0023933673,17,34,28,27,23,30,13,32,28,41,23,46,38,39,49,23,30,39,39,27
CAMNT_0023933687,9,23,19,16,8,13,6,21,22,19,8,25,18,17,41,8,8,13,8,13
CAMNT_0023933761,11,9,12,16,6,19,7,6,6,12,6,18,9,9,4,6,8,13,9,8
CAMNT_0023933863,13,9,10,33,34,16,6,20,5,5,34,12,14,8,18,34,8,10,7,4
CAMNT_0023934051,15,12,11,5,13,8,18,10,7,17,13,15,13,5,8,13,13,8,15,11
CAMNT_0023934217,29,19,22,17,31,17,13,16,13,20,31,20,18,14,18,31,5,13,19,14
CAMNT_0023934605,37,118,150,219,120,22,29,157,78,204,120,37,22,102,199,120,17,37,122,119
CAMNT_0023934981,7,20,18,20,9,3,16,32,33,21,9,13,5,23,29,9,8,18,21,29
CAMNT_0023935201,2,15,33,10,3,1,2,15,7,51,3,1,3,11,84,3,2,1,5,28
CAMNT_0023935397,11,24,15,27,10,14,12,11,10,19,10,23,18,21,25,10,24,22,9,13
CAMNT_0023935529,20,8,7,14,17,13,9,17,4,5,17,20,13,20,12,17,2,11,7,12
CAMNT_0023935533,17,17,14,15,5,13,4,10,10,5,5,12,13,5,13,5,4,10,6,4
CAMNT_0023935665,13,21,16,22,13,11,11,18,9,11,13,22,8,3,12,13,12,11,5,17
CAMNT_0023935693,25,50,62,147,94,23,20,29,82,63,94,12,18,22,50,94,10,16,19,26
CAMNT_0023936099,9,14,13,14,9,9,9,7,10,12,9,14,7,3,9,9,8,10,10,7
CAMNT_0023936171,6,17,14,35,25,9,8,8,19,16,25,11,11,9,9,25,16,20,7,11
CAMNT_0023936385,13,17,6,18,8,8,7,12,7,9,8,25,11,4,8,8,16,5,3,17
CAMNT_0023936419,7,19,19,12,7,12,16,12,19,10,7,19,2,6,6,7,10,11,13,11
CAMNT_0023936431,31,31,16,40,36,37,17,14,17,11,36,32,25,26,22,36,30,19,14,20
CAMNT_0023936437,10,13,13,19,17,16,8,14,6,18,17,15,13,10,14,17,10,13,4,7
CAMNT_0023936445,19,16,14,25,14,20,20,27,4,27,14,24,12,20,23,14,27,28,17,11
CAMNT_0023936501,10,8,4,10,14,7,8,10,6,2,14,21,11,14,12,14,3,7,13,8
CAMNT_0023936685,18,11,23,19,21,10,10,19,6,17,21,11,11,19,9,21,21,12,19,13
CAMNT_0023936689,26,50,45,30,40,31,45,36,16,41,40,47,27,35,32,40,39,26,34,25
CAMNT_0023936691,8,16,5,14,11,21,15,8,4,11,11,27,10,6,9,11,7,15,9,3
CAMNT_0023936693,12,18,27,35,15,9,22,25,23,39,15,19,25,33,53,15,23,18,16,20
CAMNT_0023936697,14,17,8,16,10,15,14,20,6,1,10,20,11,9,15,10,8,8,14,7
CAMNT_0023936715,31,31,41,25,25,28,24,31,29,29,25,65,38,23,39,25,36,34,56,30
CAMNT_0023936717,467,653,354,654,1275,505,507,465,383,308,1275,536,640,576,482,1275,356,452,462,403
CAMNT_0023936721,25,32,25,24,17,18,27,21,16,26,17,19,12,11,19,17,18,27,13,10
CAMNT_0023936729,13,14,9,19,11,9,8,16,10,9,11,6,8,8,6,11,15,9,8,2
CAMNT_0023936735,15,12,10,11,9,8,6,8,5,20,9,10,8,15,11,9,12,10,12,12
CAMNT_0023936741,530,537,521,740,602,546,427,567,461,491,602,1238,708,440,602,602,383,554,410,470
CAMNT_0023936743,16,13,11,15,12,10,10,20,12,8,12,17,9,13,13,12,6,11,14,13
CAMNT_0023936747,10,4,5,12,8,8,8,11,10,10,8,29,17,7,20,8,3,7,3,14
CAMNT_0023936773,23,13,13,16,12,13,6,9,16,10,12,22,15,12,14,12,3,17,12,9
CAMNT_0023936797,15,12,13,12,11,18,12,6,10,19,11,14,12,11,16,11,16,7,12,6
CAMNT_0023936809,15,21,5,15,9,16,16,8,4,13,9,22,13,10,10,9,9,7,10,11
CAMNT_0023936813,19,25,39,64,17,12,9,17,29,41,17,11,10,24,64,17,9,12,16,20
CAMNT_0023936833,23,25,24,45,14,26,24,33,11,24,14,36,36,22,22,14,23,29,16,18
CAMNT_0023936839,118,149,86,142,115,109,73,104,65,104,115,189,84,71,143,115,121,113,72,67
CAMNT_0023936841,23,27,20,25,19,23,14,17,16,24,19,23,19,23,26,19,28,16,23,9
CAMNT_0023936905,55,82,105,61,36,49,38,62,32,45,36,62,52,54,74,36,35,57,32,31
CAMNT_0023936949,11,9,8,21,11,14,9,14,10,7,11,24,9,11,9,11,13,11,12,4
CAMNT_0023936969,7,6,12,7,10,11,14,11,5,14,10,19,7,8,10,10,8,6,12,9
CAMNT_0023936973,9,9,10,11,13,10,17,9,15,13,13,12,5,10,15,13,7,16,10,4
CAMNT_0023936981,11,4,9,16,6,15,3,12,9,5,6,22,15,1,9,6,16,7,10,11
CAMNT_0023936991,37,33,21,46,49,40,7,24,24,13,49,43,18,21,26,49,24,55,24,11
CAMNT_0023937011,18,22,18,27,24,18,18,27,7,18,24,28,22,19,31,24,24,32,39,30
CAMNT_0023937013,253,357,191,376,754,271,269,299,194,192,754,296,394,340,285,754,184,232,285,244
CAMNT_0023937027,9,26,9,18,9,11,18,9,9,18,9,7,10,7,18,9,9,10,5,10
CAMNT_0023937035,37,72,47,63,63,53,41,46,40,64,63,78,48,58,69,63,43,56,57,54
CAMNT_0023937045,10,24,74,54,6,12,10,33,28,83,6,15,16,32,91,6,18,11,24,63
CAMNT_0023937081,10,17,9,9,12,13,11,16,2,9,12,23,19,8,13,12,14,22,9,7
CAMNT_0023937085,29,48,41,35,30,30,28,40,35,44,30,54,33,48,59,30,48,38,43,37
CAMNT_0023937089,19,53,127,139,146,13,23,60,101,179,146,33,31,58,160,146,45,20,40,118
CAMNT_0023937107,18,23,12,22,21,13,23,8,13,19,21,19,7,19,15,21,14,29,15,7
CAMNT_0023937123,54,64,43,88,69,103,41,48,54,40,69,126,46,37,49,69,83,57,51,26
CAMNT_0023937153,8,17,12,24,12,16,9,11,7,10,12,17,6,7,11,12,2,13,10,7
CAMNT_0023937163,52,37,20,38,51,62,23,36,33,29,51,35,22,36,21,51,32,31,30,17
CAMNT_0023937167,5,7,19,2,8,16,2,9,6,6,8,33,15,19,6,8,1,5,3,13
CAMNT_0023937169,78,85,52,55,46,95,49,79,32,36,46,172,117,70,56,46,145,114,102,35
CAMNT_0023937229,9,16,14,23,18,15,10,14,9,15,18,17,7,9,16,18,11,11,14,11
CAMNT_0023937235,11,23,16,26,25,33,21,19,20,22,25,22,36,23,28,25,12,29,27,31
CAMNT_0023937239,5,24,58,121,70,8,9,23,64,103,70,7,6,28,122,70,8,9,24,78
CAMNT_0023937255,11,17,12,12,16,6,5,15,15,16,16,10,13,5,5,16,10,15,8,4
CAMNT_0023937259,31,81,79,90,54,12,25,60,58,117,54,22,30,44,71,54,23,24,91,72
CAMNT_0023937303,37,34,31,36,40,44,30,50,19,52,40,72,35,37,73,40,33,34,39,24
CAMNT_0023937307,33,16,14,18,11,14,13,20,13,12,11,26,15,8,12,11,21,15,18,17
CAMNT_0023937327,24,29,18,28,17,20,23,18,8,19,17,24,21,15,16,17,17,12,5,21
CAMNT_0023937333,8,10,10,14,12,13,7,6,6,10,12,30,10,7,6,12,12,11,1,6
CAMNT_0023937375,13,23,14,10,10,5,9,13,12,17,10,8,9,7,13,10,7,7,10,6
CAMNT_0023937421,26,22,15,21,18,13,20,15,14,18,18,14,11,10,13,18,18,19,11,15
CAMNT_0023937449,30,61,46,32,11,15,8,54,23,39,11,15,22,43,48,11,20,24,41,33
CAMNT_0023937463,12,18,15,21,12,18,26,20,14,17,12,25,25,12,28,12,19,13,22,15
CAMNT_0023937469,12,14,7,8,5,14,10,24,4,8,5,15,11,17,9,5,12,7,17,4
CAMNT_0023937497,8,8,5,8,9,16,6,15,4,11,9,14,9,10,17,9,4,9,9,10
CAMNT_0023937509,9,23,27,37,8,3,7,37,18,48,8,7,11,27,55,8,4,10,35,34
CAMNT_0023937515,24,38,35,47,56,83,25,30,14,19,56,62,29,37,38,56,39,48,31,23
CAMNT_0023937517,7,13,11,14,11,8,6,12,4,12,11,9,6,8,14,11,7,18,14,4
CAMNT_0023937521,24,12,10,22,24,23,10,18,9,14,24,21,11,16,19,24,20,20,8,15
CAMNT_0023937541,29,53,24,29,23,24,15,32,20,26,23,27,16,24,15,23,19,24,17,15
CAMNT_0023937581,47,38,23,30,27,9,16,17,24,22,27,19,20,21,27,27,14,26,23,14
CAMNT_0023937585,7,14,6,9,6,8,10,9,7,11,6,6,8,11,20,6,5,7,12,12
CAMNT_0023937589,22,24,14,29,21,28,13,11,15,15,21,13,106,23,18,21,16,18,24,2
CAMNT_0023937599,124,137,95,186,170,184,134,172,91,133,170,202,197,105,139,170,119,111,122,79
CAMNT_0023937603,9,14,19,21,10,20,18,14,5,11,10,14,11,7,14,10,9,8,16,10
CAMNT_0023937605,7,12,26,34,33,2,6,25,22,25,33,3,3,14,24,33,5,6,11,19
CAMNT_0023937629,32,25,13,19,18,26,14,21,11,6,18,25,12,20,12,18,14,24,18,20
CAMNT_0023937631,12,18,11,15,13,13,7,5,6,21,13,11,9,13,9,13,9,5,6,10
CAMNT_0023937657,23,45,36,85,98,26,22,44,49,51,98,33,18,26,32,98,11,27,27,30
CAMNT_0023937669,15,7,12,19,14,25,18,22,11,23,14,25,12,16,17,14,27,19,18,28
CAMNT_0023937679,50,26,22,42,29,45,30,35,20,23,29,64,29,28,42,29,20,28,26,14
CAMNT_0023937685,18,18,13,14,18,8,21,16,9,13,18,32,11,13,17,18,24,17,9,14
CAMNT_0023937709,10,9,6,15,9,7,13,8,7,13,9,16,9,10,11,9,11,11,15,7
CAMNT_0023937773,17,61,51,72,42,6,13,43,22,80,42,1,19,39,57,42,10,21,33,32
CAMNT_0023937781,52,51,23,63,55,67,35,54,17,20,55,97,51,33,37,55,41,49,45,25
CAMNT_0023937785,12,8,6,12,10,9,1,8,12,4,10,9,9,11,14,10,5,12,14,13
CAMNT_0023937865,4,13,10,13,8,11,14,7,12,15,8,7,9,3,15,8,9,10,3,19
CAMNT_0023937891,46,51,26,36,21,14,31,28,20,26,21,34,18,20,22,21,28,54,29,16
CAMNT_0023937911,27,33,39,38,23,37,25,34,19,41,23,47,25,52,53,23,35,29,38,25
CAMNT_0023937953,4,7,20,28,17,4,6,16,3,11,17,6,4,5,24,17,3,8,5,18
CAMNT_0023937955,3,54,54,66,26,5,4,31,34,48,26,3,7,29,54,26,3,3,38,39
CAMNT_0023937967,33,39,20,49,42,47,34,23,19,31,42,77,21,47,40,42,37,33,39,29
CAMNT_0023938009,38,44,19,47,29,40,27,26,21,16,29,39,28,13,12,29,30,29,18,7
CAMNT_0023938033,12,26,13,25,9,16,15,11,10,16,9,4,5,9,17,9,10,16,14,8
CAMNT_0023938047,37,31,17,42,33,40,38,20,42,31,33,69,23,42,29,33,39,34,16,26
CAMNT_0023938055,13,46,27,43,7,6,9,56,25,54,7,7,18,47,60,7,4,17,35,44
CAMNT_0023938061,28,42,19,37,21,25,30,60,22,32,21,63,47,27,39,21,17,32,31,18
CAMNT_0023938081,15,33,24,23,5,6,3,18,12,26,5,1,9,23,22,5,3,1,21,10
CAMNT_0023938111,16,12,16,20,17,15,17,26,9,28,17,34,17,14,21,17,32,28,18,34
CAMNT_0023938117,86,108,66,156,124,93,98,109,79,77,124,152,100,95,102,124,83,84,80,63
CAMNT_0023938155,7,37,56,85,38,7,5,56,37,59,38,6,7,37,73,38,6,10,30,52
CAMNT_0023938157,13,12,6,9,13,7,6,17,2,12,13,5,8,6,5,13,14,9,8,10
CAMNT_0023938165,11,11,17,15,14,11,13,16,11,9,14,36,13,15,18,14,19,14,16,11
CAMNT_0023938187,15,13,9,12,7,11,5,7,3,7,7,16,12,15,13,7,9,11,15,6
CAMNT_0023938201,13,12,9,15,19,15,9,20,11,24,19,22,15,10,17,19,11,13,11,8
CAMNT_0023938203,5,7,4,4,4,8,6,14,3,5,4,6,181,6,5,4,3,6,3,0
CAMNT_0023938211,9,29,13,26,13,7,13,19,5,21,13,22,15,14,12,13,17,6,10,14
CAMNT_0023938237,14,19,17,19,17,16,15,17,8,23,17,18,21,20,26,17,17,14,20,22
CAMNT_0023938253,16,15,9,7,12,22,8,23,8,15,12,20,10,8,11,12,19,15,9,7
CAMNT_0023938263,12,13,7,5,13,3,20,8,10,13,13,19,8,7,10,13,4,18,6,2
CAMNT_0023938271,18,32,24,21,24,17,9,15,20,27,24,17,22,11,35,24,9,15,16,14
CAMNT_0023938295,8,17,11,11,14,18,8,11,6,7,14,9,18,13,5,14,7,14,7,5
CAMNT_0023938315,51,56,43,58,43,35,30,56,20,30,43,34,32,44,56,43,26,28,38,32
CAMNT_0023938325,14,17,10,21,12,14,16,11,8,14,12,23,28,10,10,12,17,9,10,7
CAMNT_0023938343,14,19,25,23,15,6,5,9,9,5,15,8,8,2,28,15,3,5,11,8
CAMNT_0023938351,11,18,21,16,14,12,7,19,11,11,14,15,12,13,11,14,15,22,14,13
CAMNT_0023938357,14,26,18,35,31,43,23,17,13,20,31,66,15,28,15,31,24,14,14,16
CAMNT_0023938379,14,23,17,15,13,11,15,14,8,11,13,26,11,9,13,13,17,13,8,10
CAMNT_0023938423,27,14,14,13,7,10,4,4,6,9,7,25,15,10,6,7,5,4,11,6
CAMNT_0023938451,327,375,430,499,348,439,348,464,226,412,348,658,436,427,470,348,422,459,370,246
CAMNT_0023938479,4,76,3,1,1,4,5,55,4,1,1,6,25,26,10,1,15,6,112,1
CAMNT_0023938481,9,24,43,70,58,13,14,19,32,54,58,4,9,36,76,58,23,16,33,39
CAMNT_0023938487,8,30,30,27,15,8,5,34,12,32,15,7,4,18,30,15,3,5,17,12
CAMNT_0023938503,21,14,8,27,29,18,17,24,7,12,29,36,15,9,6,29,15,23,12,11
CAMNT_0023938523,8,8,10,9,10,20,2,22,6,8,10,41,13,12,16,10,9,6,8,12
CAMNT_0023938527,10,18,19,21,14,7,19,27,16,21,14,27,18,10,24,14,17,11,22,11
CAMNT_0023938581,11,8,9,7,12,5,16,8,7,12,12,9,10,15,7,12,9,12,12,8
CAMNT_0023938593,16,15,6,10,12,11,8,23,3,9,12,20,5,9,16,12,5,11,6,10
CAMNT_0023938611,61,52,20,35,46,73,46,32,32,26,46,78,31,25,35,46,29,45,26,19
CAMNT_0023938615,36,16,10,10,10,11,17,31,4,12,10,52,25,18,11,10,16,4,15,8
CAMNT_0023938679,31,43,32,41,37,28,45,23,34,33,37,54,39,31,22,37,26,32,32,22
CAMNT_0023938703,42,51,33,56,48,65,27,46,36,37,48,61,35,39,36,48,41,51,34,25
CAMNT_0023938711,11,11,10,16,9,4,6,9,4,15,9,13,16,16,14,9,16,8,9,12
CAMNT_0023938729,15,17,15,31,19,28,6,19,11,12,19,29,17,23,21,19,16,7,8,10
CAMNT_0023938745,9,11,13,10,13,9,10,8,14,5,13,23,13,11,13,13,9,18,19,14
CAMNT_0023938751,14,21,13,18,17,10,6,20,6,11,17,18,11,21,18,17,14,9,15,9
CAMNT_0023938775,20,26,24,17,17,23,8,11,14,10,17,36,17,20,18,17,30,14,17,7
CAMNT_0023938795,65,130,82,81,90,80,83,93,80,73,90,130,94,84,125,90,93,75,72,78
CAMNT_0023938823,60,101,97,81,57,82,37,25,33,39,57,130,128,186,76,57,21,94,102,53
CAMNT_0023938835,27,12,15,12,17,7,9,18,9,13,17,28,35,33,10,17,10,18,16,18
CAMNT_0023938873,11,24,27,59,38,6,9,29,21,36,38,17,22,18,60,38,4,13,20,29
CAMNT_0023938943,49,43,33,49,30,39,21,26,26,16,30,33,25,38,22,30,32,35,14,27
CAMNT_0023938997,11,13,5,12,5,15,17,12,1,4,5,26,9,10,3,5,14,8,13,2
CAMNT_0023939009,11,17,5,18,16,17,10,17,12,9,16,20,10,17,6,16,15,10,7,4
CAMNT_0023939041,32,59,38,28,31,36,35,69,16,49,31,54,29,26,31,31,44,44,31,11
CAMNT_0023939049,7,27,13,9,10,19,18,15,13,11,10,14,10,11,10,10,17,13,8,13
CAMNT_0023939053,14,19,19,17,18,12,12,8,15,14,18,16,11,11,11,18,8,12,9,10
CAMNT_0023939059,27,40,14,34,15,12,25,30,8,33,15,39,15,11,18,15,5,23,6,5
CAMNT_0023939069,110,44,100,54,29,58,18,69,14,50,29,98,51,47,42,29,49,70,69,23
CAMNT_0023939097,10,13,14,47,16,2,6,7,18,20,16,4,7,6,17,16,4,7,8,11
CAMNT_0023939119,11,14,7,13,5,11,5,8,12,11,5,21,8,11,12,5,7,12,21,5
CAMNT_0023939187,21,30,18,39,24,40,26,20,26,33,24,29,16,21,27,24,23,26,19,24
CAMNT_0023939375,8,22,27,19,16,16,7,16,26,22,16,21,19,19,28,16,17,32,27,17
CAMNT_0023939417,17,20,8,11,9,19,13,16,5,11,9,15,8,17,10,9,2,15,11,8
CAMNT_0023939449,20,20,15,11,10,15,13,10,8,17,10,23,12,19,21,10,22,13,14,13
CAMNT_0023939491,15,12,20,15,14,10,3,11,9,16,14,17,3,6,10,14,8,9,10,3
CAMNT_0023939507,11,12,13,11,7,7,8,13,6,10,7,20,14,7,20,7,6,13,11,12
CAMNT_0023939613,8,11,25,46,27,4,11,25,21,33,27,3,9,17,30,27,11,9,8,12
CAMNT_0023939639,56,45,38,56,46,37,31,46,30,23,46,68,57,60,45,46,55,40,42,24
CAMNT_0023939643,15,12,20,11,15,25,8,7,6,9,15,32,19,11,11,15,19,18,15,6
CAMNT_0023939675,7,16,21,74,12,10,86,4,6,38,12,7,6,12,20,12,14,15,11,8
CAMNT_0023939697,44,66,19,66,65,55,53,45,39,37,65,82,68,67,53,65,39,35,32,23
CAMNT_0023939773,12,18,14,12,16,13,16,16,16,20,16,21,12,12,16,16,23,5,19,6
CAMNT_0023939785,12,10,14,13,7,19,5,11,3,11,7,8,9,12,9,7,6,8,8,6
CAMNT_0023939811,25,28,13,21,9,23,15,22,8,13,9,31,12,13,14,9,10,12,7,12
CAMNT_0023939847,19,16,9,22,14,16,7,10,7,12,14,20,4,4,11,14,9,14,9,7
CAMNT_0023939919,10,28,34,55,32,8,13,30,25,50,32,19,15,25,44,32,7,11,24,23
CAMNT_0023939987,8,14,10,18,24,6,7,12,12,13,24,20,6,9,14,24,10,9,11,19
CAMNT_0023939997,11,20,19,27,16,8,15,14,9,17,16,25,13,18,18,16,17,20,19,12
CAMNT_0023940011,7,36,20,19,4,2,10,36,7,9,4,2,14,27,10,4,3,7,18,6
CAMNT_0023940037,19,23,29,37,30,12,16,24,28,17,30,38,25,12,23,30,30,23,12,15
CAMNT_0023940075,11,62,51,31,6,7,10,70,15,59,6,3,16,50,62,6,4,4,47,47
CAMNT_0023940105,10,31,168,305,215,21,22,51,137,291,215,43,18,33,325,215,31,20,33,176
CAMNT_0023940131,11,16,10,20,13,11,2,8,9,19,13,5,12,9,14,13,7,8,13,6
CAMNT_0023940177,10,10,11,12,10,11,13,10,7,7,10,11,4,13,9,10,8,5,9,2
CAMNT_0023940209,23,31,16,27,30,28,8,15,17,14,30,29,39,23,33,30,24,23,14,20
CAMNT_0023940265,27,20,24,33,25,27,17,25,20,24,25,24,21,23,36,25,30,45,26,35
CAMNT_0023940307,10,15,11,9,16,17,8,6,2,5,16,11,17,11,6,16,5,12,3,6
CAMNT_0023940333,5,12,23,59,38,5,10,14,23,39,38,3,4,18,24,38,7,1,8,14
CAMNT_0023940379,11,15,17,20,20,22,28,10,7,18,20,28,11,9,16,20,13,12,11,3
CAMNT_0023940469,23,22,24,25,22,17,17,20,10,12,22,27,15,14,18,22,11,22,16,9
CAMNT_0023940533,8,15,9,16,8,12,7,9,11,17,8,15,15,9,8,8,13,10,18,13
CAMNT_0023940541,22,23,16,18,15,13,25,15,14,10,15,28,10,12,22,15,18,17,6,14
CAMNT_0023940563,30,28,19,41,41,25,30,35,14,20,41,58,22,27,25,41,24,23,16,15
CAMNT_0023940569,13,35,11,48,39,29,31,24,18,17,39,51,42,32,15,39,30,17,43,4
CAMNT_0023940589,9,7,13,10,12,10,11,8,12,7,12,10,4,4,13,12,8,11,7,11
CAMNT_0023940597,21,19,19,66,50,17,13,17,33,28,50,39,22,2,16,50,19,18,9,13
CAMNT_0023940605,5,10,9,12,8,6,5,9,6,12,8,20,8,14,9,8,15,6,6,7
CAMNT_0023940615,8,10,7,6,11,11,10,10,8,6,11,14,8,7,18,11,9,14,18,10
CAMNT_0023940707,13,19,7,11,7,9,13,17,4,8,7,21,6,5,4,7,13,10,3,11
CAMNT_0023940709,17,111,18,35,54,32,96,50,1,61,54,77,33,73,65,54,48,15,18,15
CAMNT_0023940805,38,30,23,47,40,40,26,25,24,25,40,42,56,45,30,40,23,32,22,22
CAMNT_0023940813,16,10,4,21,19,27,11,10,7,3,19,24,15,10,4,19,9,9,8,3
CAMNT_0023940873,13,10,7,20,20,13,9,15,6,5,20,22,9,10,4,20,13,9,3,8
CAMNT_0023940979,115,275,107,117,76,118,146,175,46,131,76,101,122,110,102,76,133,120,71,76
CAMNT_0023941065,10,12,14,13,8,4,10,16,6,20,8,8,5,10,21,8,5,10,8,20
CAMNT_0023941131,11,13,10,10,11,9,5,12,11,13,11,19,10,9,5,11,11,14,16,13
CAMNT_0023941153,15,13,12,7,8,10,9,13,8,10,8,18,18,12,4,8,16,12,4,9
CAMNT_0023941199,11,12,9,15,12,9,11,6,5,7,12,21,18,13,18,12,11,9,10,16
CAMNT_0023941219,7,18,11,12,6,13,24,12,8,6,6,11,10,9,5,6,5,7,6,6
CAMNT_0023941223,35,59,56,83,48,52,25,45,45,59,48,60,31,69,79,48,47,37,53,47
CAMNT_0023941227,8,9,6,8,8,11,5,10,6,10,8,17,13,9,13,8,13,9,11,2
CAMNT_0023941241,20,19,7,7,9,25,13,28,5,10,9,17,6,6,5,9,19,14,9,1
CAMNT_0023941315,28,38,18,39,33,35,30,44,16,35,33,43,34,64,69,33,54,48,34,47
CAMNT_0023941357,36,92,55,51,45,70,27,91,14,31,45,97,26,46,7,45,67,94,50,45
CAMNT_0023941389,24,27,23,22,22,21,15,27,11,15,22,29,16,24,18,22,18,16,17,11
