Identity,Date Sampled,Address,Draw1,Draw2,Draw3,Draw4,Draw5,Draw6,Draw7,Draw8,Draw9,Draw10,Draw11,Minute3,Minute5,Minute7,Minute10,Minute15,Minute20
179,6/29/2021,128XX S Morgan St,18.5,44.4,16.1,20,32.1,55.6,67.7,7.36,75.6,68.8,,71.2,21.6,21.3,17.1,16.8,
180,6/25/2021,128XX S Union Ave,3.15,4.44,4.42,4.17,4.46,4.43,4.26,3.42,,,,2.75,1.04,,,,
181,2/14/2017,128XX S Wallace St,6.41,10.3,11.8,14.9,17.7,16.7,15.2,13,11.3,9.99,2.66,3.83,,,,,
182,6/17/2021,129XX S EXchange Ave,6.2,8,6.4,7.8,11,15,15,14,14,15,,21,4.3,,,,
183,6/17/2021,129XX S Normal Ave,7.1,6.8,7.5,7.8,12,17,22,22,20,19,,17,15,,,,
184,7/2/2021,12XX E 50Th St,4.68,5.02,5.38,8.58,7.2,8.41,8.71,9.22,10.2,13,,15.8,17,13.2,5.47,2.64,
185,8/19/2019,12XX E 71St St,11.5,12.4,15.5,17.3,16.1,16.1,17.1,15.8,15.5,15.1,13.9,6,,,,,
186,7/15/2021,12XX E 97Th Pl,2.7,2.9,3.8,4.7,6.9,9.4,9.9,10,0.98,9.4,,9.3,4.8,,,,
187,10/5/2021,12XX N Marion Ct,7.32,7.11,6.84,10.5,18,18.1,16.2,11.7,15.4,11.6,4.6,4.06,,,,,
188,2/7/2020,12XX W Draper St,8.29,9.97,6.6,4.65,5.33,5.07,5.03,3.93,13.9,2.47,2.19,2.13,2.09,2.01,1.95,,
189,9/24/2019,12XX W Early Ave,13.8,14.3,17.7,13.7,7.57,6.92,6.87,6.22,6.61,5.89,3.35,3.02,,,,,
190,12/12/2017,12XX W Norwood St**,26.6,57.26,64.7,59.8,57.4,52.1,49.6,44.1,40,29.5,16.5,14.6,,,,,
191,9/18/2018,12XX W Norwood St**,32,49.2,72.9,71.8,71.1,68,65,64.3,62.8,57.5,32,29.6,28.2,26.8,25.1,,
192,9/1/2016,12XX W Victoria St,2.67,4.09,4.32,4.26,4.25,4.34,4.22,4.49,4.45,4.8,5.48,5.39,,,,,
193,6/14/2019,130XX S Muskegon ,3.34,2.51,2.7,2.99,3.52,4.14,4.74,5.06,5.2,5.84,,8.78,7.11,1.44,0,,
194,9/29/2018,131XX S Avenue N ,11.6,16,16.5,15.6,16.3,17.5,22.1,31.2,36.2,36.9,36.7,7.06,5,4.56,4.28,,
195,1/3/2020,131XX S Burley Ave,3,3.9,3.71,5.13,9.67,11.8,10.7,8.59,8.22,8.92,8.07,1.98,,,,,
196,9/11/2019,131XX S Muskegon Ave,8.73,7.9,13.4,13,14.5,61.4,59.9,41.6,49.2,55.6,11.8,11,10.3,9.47,8.95,,
197,8/20/2021,132XX S Avenue M ,7.93,6.88,4.12,4.35,13.7,17,14.8,13.8,13.4,12.5,3.34,2.55,,,,,
198,8/2/2019,132XX S Avenue N ,7.8,7.61,16.9,32.8,25.8,24.4,24.7,22.9,24.7,30.6,18.1,7.06,,,,,
199,10/28/2021,13XX E 52Nd St,4.4,3.9,4.6,4.4,6.3,6.4,6.8,6,5.4,4.4,2.8,2.3,2.2,2.2,2.1,,
200,7/17/2019,13XX E 55Th Pl,5.2,8.37,12.6,13.7,12.2,11.9,11.4,11.2,10.3,7.89,6.48,2.22,,,,,
201,3/30/2017,13XX E 87Th St,7.82,9.18,11.5,12.7,11.3,12,15.6,25.6,31.1,28,19.9,3.14,,,,,
202,8/31/2021,13XX E 88Th Pl,8.96,6.4,6.85,9.27,9.2,10.6,11.1,9.71,8.66,9.4,11.6,3.59,,,,,
203,8/5/2021,13XX N Maplewood Ave,8.56,8.84,9.07,10.4,19.1,26.2,26.3,25.2,24.2,23.1,17.6,5.4,,,,,
204,7/7/2016,13XX N Monitor Ave,9.96,7.84,9.57,15.5,25.1,22.6,20.9,21.6,19,21.3,22,5.17,,,,,
205,10/16/2019,13XX W 108Th St,4.37,6.72,6.9,7.32,13,15.2,14.5,14.9,15,16.4,7.75,2.62,,,,,
206,2/28/2022,13XX W 109Th St,5.7,8,7.7,7.4,6.7,14,28,36,36,27,2.4,1.5,,,,,
207,5/23/2021,13XX W 61St St,2.3,3.8,3.8,3.4,3.4,3.6,3.4,3.9,4,4,,3.1,1.3,1.3,1.2,1.4,
208,2/5/2019,13XX W Bryn Mawr ,5.76,6.14,6.16,6.4,6.18,6.68,7.92,7.7,8.03,9.72,19,15.9,9.99,3.06,1.68,,
209,4/1/2019,13XX W Byron ,12.6,20,18.4,13.1,18.4,27.4,28.4,23.9,10.6,5.2,3.36,3.03,,,,,
210,12/8/2021,13XX W Carmen Ave,5.4,5.7,9.2,11,12,12,12,12,14,17,10,3,2.7,2.6,2.4,,
211,4/9/2019,13XX W Cornelia ,10.8,11.2,12,13.6,14.2,13.6,14.6,17.6,22.3,29,17.9,5.25,4.48,4.41,4.16,,
212,7/15/2019,13XX W Granville ,10.2,12.3,12.3,12.8,12.5,11.9,1.4,12.1,10.7,10.2,6.86,4.72,,,,,
213,8/23/2016,13XX W Winona St,8.7,12.3,19.2,17.5,18.2,19,18,15.8,15.4,15.6,5.06,4.31,,,,,
214,12/7/2018,13XX W Winona St,3.85,4.02,4.3,4.52,4.48,4.18,3.89,4.03,4.03,4.03,4.4,1.24,1.26,1,0,,
215,2/22/2022,14XX E 54Th St,5.69,5.05,4.91,7.32,8.8,9.22,7.95,6.24,4.96,3.86,3.23,0,0,0,0,,
216,2/8/2017,14XX E 54Th St,11,24,54.2,46.4,36,29.9,23.8,21.7,23.9,24.4,21.1,9.9,,,,,
217,9/15/2021,14XX E 66Th Pl,4.31,2.98,3.14,3.14,3.18,4.42,23.9,7.83,8.23,8.83,2.89,2.61,,,,,
218,12/20/2019,14XX E 90Th Pl,7.34,7.95,7.27,6.44,8.45,9.01,9.09,9.06,8.73,8.07,6.23,1.39,,,,,
219,9/28/2021,14XX N Kolin Ave,7.8,11,10,8.3,8,6.7,5.8,5.6,5.3,5.3,4.9,5.2,,,,,
220,5/27/2021,14XX N Lockwood Ave,4.6,4.2,3.3,3.4,3.3,3.2,4,4.9,4.6,6.2,,5.6,2.5,,,,
221,9/16/2019,14XX N Lorel Ave,7.8,9.15,8.77,9.34,8.83,8.59,11.2,14.7,15,15.2,15.7,13.4,16.9,6.51,5.88,,
222,10/18/2019,14XX N Massasoit ,4.59,5.68,2.78,2.91,2.49,4.2,2.32,2.39,2.5,2.98,2.12,1.65,,,,,
223,10/8/2021,14XX N Wood St**,8.4,13.1,17.8,18.3,13.7,12.6,14.1,9.95,8.08,8.04,6.78,6.44,5.37,5.06,4.88,,
224,12/13/2021,14XX N Wood St**,6.2,8.5,9.8,8.7,8.6,8.7,6.9,6.4,6,6.2,5.5,4.6,3.9,4.2,4.7,,
225,2/17/2022,14XX W 103Rd St,15,9.6,4.9,4.4,5.2,7.2,7.4,6.9,6.5,6.7,0.96,0.86,0.81,0.83,0.93,,
226,8/27/2021,14XX W 107Th St,2.48,1.48,1.98,2.02,1.81,3.13,2.58,3.11,4.81,5.31,4.32,1.01,0,0,0,,
227,2/6/2020,14XX W 123Rd St,2.69,2.83,2.91,2.49,2.29,2.3,2.14,2.16,2.2,2.09,1.88,1.56,,,,,
228,2/7/2022,14XX W Carmen Ave,3.7,5,5.7,5.3,5.6,5.2,4.9,5.6,11,13,8.9,1.3,,,,,
229,1/31/2022,14XX W Edgewater Ave,15,29,28,25,19,20,20,13,7.8,6,4.4,4,,,,,
230,11/15/2021,14XX W Farragut Ave,5.23,6.26,8.3,12.7,15.3,14.8,13.5,12.5,12.3,12.1,12.6,7.93,2.29,1.52,1.27,,
231,8/9/2019,14XX W Flournoy ,19,50.2,77.5,31.8,27,24.5,29.1,23.6,21.1,18.8,11.7,9.69,,,,,
232,7/25/2018,14XX W Flournoy St,7.01,5.22,2.81,2.73,2.48,2.2,2.3,2.16,2.12,2.15,1.94,1.75,,,,,
233,5/24/2018,14XX W George St,6,7.26,7.91,8.17,8.39,8.56,8.73,8.92,9.33,9.46,18.1,9.98,,,,,
234,2/11/2020,14XX W Glenlake Ave,11.1,26.4,34.8,32.3,23.7,20,17.5,14.7,10.4,8.18,4.63,4.07,3.8,3.49,3.32,,
235,8/3/2018,14XX W Lill Ave,4.21,5.06,5.78,6.1,5.69,5.44,5.58,5.42,5.89,10.6,24.6,16,,,,,
236,10/31/2018,14XX W Lill Ave,5.29,6.04,6.09,5.17,5.59,10.6,19,19.8,15.9,17.7,2.77,2.21,,,,,
237,10/28/2016,14XX W Melrose St,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
238,2/26/2020,14XX W Norwood St,6.02,13.1,18.8,11.2,9.8,8.42,8.36,11.8,12,11.4,4.02,3.5,,,,,
239,10/1/2018,14XX W Olive Ave,8.15,8.04,7.23,7.65,9.93,11.5,12.4,12.4,11.9,11.2,6.42,4.84,,,,,
240,3/3/2020,14XX W Rascher Ave,3.56,5.28,6.15,6.31,6.75,12.7,23.4,29.3,30.5,26.1,3.17,1.87,,,,,
241,2/17/2017,14XX W Rosemont Ave,3.08,3.66,3.83,2.22,3.46,5.12,6.31,5.71,6.22,10.4,17.3,0,,,,,
242,8/10/2016,14XX W Superior St,148,116,38.1,19.9,17.1,15.9,15.9,14.9,14.4,14.3,,,,,,,
243,11/29/2021,14XX W Thome ,13.6,10.2,9.75,10.2,13.3,18.2,21.4,21.5,21.1,19.2,16,12.6,9.32,3.03,2.8,,
244,7/27/2018,14XX W Winnemac Ave,1.7,4.38,6.42,5.35,5.34,4.93,4.73,4.03,5.48,1.52,1.33,1.31,,,,,
245,6/6/2019,15XX E 76Th Pl,9.42,16.2,10.8,7.88,6.75,6.11,6.55,6.38,7.64,8.26,1.52,1.36,,,,,
246,12/17/2019,15XX E 84Th Pl,2.78,2.97,3.26,3.99,3.93,3.87,4.99,12.3,12.8,12.3,8.22,1.98,,,,,
247,11/16/2020,15XX E 86Th St,7.08,9.52,10.6,9.92,9.61,9.39,9.78,16.8,23.4,24.1,,16,3.76,,,,
248,6/16/2021,15XX E 86Th St,5.1,5.2,6,5.1,6.9,6.8,6.7,10,16,17,,12,2.8,,,,
249,7/1/2016,15XX N Claremont Ave,34.1,16.2,18.5,15.6,15.9,13.9,13.6,14.2,13.5,13.8,7,6.26,,,,,
250,8/3/2021,15XX N Kedzie Ave,5.17,5.63,0.9,7,7.14,7.38,7.47,7.12,6.77,6.18,7.24,4.57,3.73,3.68,3.32,,
251,5/28/2021,15XX N Long Ave,11.9,8.41,8.92,20.1,24.6,18,17.2,15.7,16.4,15.1,,14.6,5.86,5.2,5.56,4.34,
252,12/24/2018,15XX N Monticello ,9.84,11,9.69,8.83,7.82,7.62,8.2,8.49,9.64,10.2,,6.13,,,,,
253,8/23/2021,15XX N Wellington Ave,3.5,3.3,3.88,3.81,3.8,3.35,4.07,3.99,6.21,15.9,2.7,2.35,,,,,
254,8/4/2021,15XX W 100Th Pl,5.9,5.1,5.2,5.5,5.3,4.8,4.1,4.1,4,3.9,,3.9,3.6,,,,
255,8/15/2019,15XX W Edgewater Ave,9.29,20.4,26.2,24.1,21.4,19.6,22.4,23.3,15.2,8.09,6.92,6.58,,,,,
256,2/26/2020,15XX W Roscoe St,4.68,4.86,4.72,4.82,4.89,4.78,5,4.99,6.6,15.2,4.48,1.53,,,,,
257,10/27/2020,15XX W Wolfram St,7.09,5.39,7.34,9.36,9.44,11,11.5,12.4,8.61,8.68,,4,3.73,3.66,3.43,3.21,
258,10/19/2021,16XX N Burling St,10.3,6.43,5.92,5.92,5.68,5.85,6.5,7.17,7.51,8.66,12.2,32.2,32.6,10.7,3.37,,
259,10/13/2016,16XX N Cleveland Ave,31.1,11.9,9.93,8.82,9.16,8.41,8.15,8.02,7.83,7.82,7.77,7.47,,,,,
260,11/1/2021,16XX N Francisco Ave,14.6,27.4,26.9,27.2,29.3,29.2,33.4,33.8,36.1,40.2,30.5,14.5,9.28,9.05,7.54,,
261,6/4/2021,16XX N Keeler Ave,0,0,0,0,0,0,0,0,0,0,,,,,,0,
262,7/10/2019,16XX N Mobile ,5.23,5.3,5.32,5.71,6.06,10.4,17.6,19.1,19.2,18.5,18.6,3.27,,,,,
263,9/3/2019,16XX N Nashville Ave,13.1,9.85,9.15,9.49,8.29,7.93,7.55,7.48,6.8,6.66,3.65,3.48,,,,,
264,11/8/2021,16XX N Normandy Ave,7.85,13.6,20.3,13.6,15.7,11.3,11.3,10.5,9.71,10,3.53,2.96,,,,,
265,3/24/2017,16XX W 100Th Pl,7.5,6.89,7.31,10.2,12.2,14.4,15.9,13.9,13,11.6,3.4,2.58,,,,,
266,10/21/2019,16XX W 102Nd St,20.5,23.6,20.9,22.7,25.2,38.3,39.2,39.5,37.4,32,32.9,7.78,6.46,6.15,5.75,,
267,7/14/2021,16XX W Albion Ave,1.02,1.53,0,0,0,0,0,0,1.42,1.53,,0,0,,,,
268,8/14/2019,16XX W Berwyn ,7.9,9.98,12.5,18.9,23,21.1,15.1,12.6,16.2,12.9,12.2,9.04,6,5.45,5.05,,
269,7/15/2019,16XX W Berwyn ,9.06,6.96,7.08,7,6.95,7.19,7.62,7.21,7.28,7.58,,6.74,5.81,5.4,5.25,,
270,12/19/2018,16XX W Hollywood ,5.02,7.62,11.8,11,8.73,9.09,9.69,10.8,12.2,12.5,2.89,2.47,,,,,
271,6/18/2019,16XX W Jarvis ,6.9,7.55,9.56,15.8,25.4,23.8,22.2,24.3,21.9,30.2,8.36,5.36,,,,,
272,7/12/2019,16XX W Lunt ,6.02,7.16,9.54,8.31,12.4,18,22.1,28.1,27,26.2,16.3,3.26,,,,,
273,12/27/2018,16XX W Summerdale Ave,33.9,41.3,34.9,34.9,44.4,71.4,69.1,68.1,64.3,56.3,52.2,16.2,9.98,6.49,5.7,,
274,1/27/2020,16XX W Touhy Ave,3.43,12,11.5,12.6,11.4,9.1,4.29,1.99,1.49,1.26,1.12,0.92,0.83,0.8,0.83,,
275,10/6/2020,1712 E 84Th St,1.21,1.28,1.42,2.08,1.44,1.83,2.06,2.54,2.32,2.38,1.6,1.12,,,,,
276,10/20/2020,1715 W 94Th St,2.14,3.48,3.64,4.3,4.65,4.6,5.12,4.6,5.65,7.35,5.68,1.72,,,,,
277,8/2/2018,17XX N Dayton St,6.76,7.42,7.6,7.21,6.87,6.92,6.95,7.71,7.5,8.36,18.7,20.1,,,,,
278,10/3/2019,17XX N Harding Ave,6.3,6.45,7.79,11.2,14.5,16,21.7,24.3,25.5,26.5,16,25.5,16.7,5.81,4.78,,
279,3/6/2020,17XX N Harding Ave**,4.53,7.08,10,11,10.1,9.25,10.2,11.1,9.35,8.26,7.26,1.66,1.34,1.27,1.2,,
280,11/2/2019,17XX N Lotus ,17.9,1.02,1.11,1.04,0.905,0.864,0.763,0.734,0.757,0.893,1.23,1.3,,,,,
281,6/7/2017,17XX N Melvina Ave,3.61,4.53,4.61,4.88,5.01,5.23,5.16,4.92,4.71,4.56,3.5,1.34,,,,,
282,7/19/2021,17XX N Merrimac Ave,8.67,8.42,11.3,12,21.1,12.8,16.9,22,23.4,22.9,,22.7,9.41,5.62,5.2,4.95,
283,7/19/2021,17XX N Mobile Ave,7.66,9.92,11.9,13.1,17.7,18.2,20,20.3,19.9,20.4,,,19.5,16.1,4.56,3.87,
284,7/10/2019,17XX N Narragansett ,11.7,15,18.7,16.8,14.5,16,20.4,23,29.2,27.8,,8.27,8.07,,,,
285,8/17/2021,17XX N Nashville Ave**,5.96,4.87,4.38,4.77,5.07,5.16,5.12,5.1,5.36,10.4,,20,,,,,
286,10/14/2021,17XX N Nashville Ave**,5.27,4.08,4.03,4.73,6.9,9.46,14.2,17.1,16.2,18.1,23.1,10.6,4.24,3.91,3.55,,
287,1/13/2020,17XX N Newland Ave,6.67,8.3,8.39,11.3,21.5,23.1,16.7,13.9,11.8,10.7,6.64,3.53,,,,,
288,6/21/2019,17XX N Normandy ,4.21,3.6,4.04,4.33,4.23,4.67,8.44,16.4,23,25.2,20.5,3.09,,,,,
289,3/29/2019,17XX N North Park ,2.65,4.56,12.4,14.6,18.1,23.7,24.2,19.8,17,14.8,7.06,2.48,,,,,
290,7/8/2016,17XX N Rutherford Ave****,11.8,9.33,8.37,8.4,8.73,11.4,16.6,36.9,39.2,39.1,34.8,5.43,,,,,
291,11/4/2016,17XX N Rutherford Ave****,7.96,8.49,9.65,11.7,15.2,18.8,23.6,34.4,38.6,38.6,33.3,4.59,,,,,
292,1/16/2018,17XX N Rutherford Ave****,5.17,7.93,8.6,9.27,6.62,7.34,7.77,7.35,7.56,6.82,5.34,2,,,,,
293,2/26/2018,17XX N Rutherford Ave****,4.23,5.31,5.64,6.67,9.1,10.2,10.8,10.4,9.44,8.88,6.4,1.61,,,,,
294,7/28/2016,17XX N Rutherford Ave****,17.4,21.2,23.2,23.8,24.6,27.7,29.6,34.5,36.7,35.7,31.1,9.98,,,,,
295,10/6/2016,17XX N Rutherford Ave****,10.7,9.93,11.3,14,16,17.4,19.5,21.6,32.1,50,56.7,18.1,,,,,
296,2/2/2018,17XX N Rutherford Ave****,22.6,20.8,25.6,26.1,25.1,23.4,22,23.1,23.9,23.8,16.1,4.4,,,,,
297,2/25/2020,17XX N Rutherford Ave****,22.6,20.8,25.6,26.1,25.1,23.4,22,23.1,23.9,23.8,16.1,4.4,,,,,
298,3/12/2019,17XX N St Michaels ,14.7,5.17,5.61,5.89,5.8,5.26,5.26,3.92,3.74,3.57,1.56,1.24,,,,,
299,12/6/2019,17XX N Talman Ave,10.7,12.5,17.4,22,24.2,24.1,22.1,19.6,18.7,17.1,10.9,6.63,6.21,5.75,5.53,,
300,8/25/2021,17XX N Troy St,45.6,4.63,6.25,4.07,4.15,3.8,2.9,3,5.85,5.9,2.65,1.96,,,,,
301,6/28/2019,17XX W 100Th Pl,3.75,4,4.45,7.69,5.72,6.74,8.99,11.9,15.3,16.2,4.86,2.64,,,,,
302,12/18/2019,17XX W 105Th St,5.12,6.05,6.18,6.02,5.8,5.93,5.93,6,5.9,5.55,4.57,2.8,2.66,2.54,2.49,,
303,10/14/2021,17XX W 106Th St,4.2,5.51,5.68,5.24,8.11,15.7,16.3,15.9,15.4,14.4,6.84,3.58,,,,,
304,4/5/2018,17XX W 18Th Pl,1.7,2.14,2.5,2.52,2.14,2.06,1.94,1.68,1.68,1.64,1.48,1.47,,,,,
305,6/16/2021,17XX W 89Th St,6,8.1,8,8.6,20,25,25,25,29,35,,7,6,,,,
306,4/12/2019,17XX W Albion ,7.64,7.76,7.88,7.3,7.04,13.6,21.5,21,21.3,21.6,18.4,2.61,,,,,
307,2/13/2019,17XX W Barry ,16.1,23.2,28.7,38.9,39.9,41.3,40,39.9,39.8,41.7,45.4,26.4,18.5,7.23,6.44,,
308,9/6/2019,17XX W Henderson St,8.28,11.5,12.3,13.2,13.3,12.8,11.3,10.3,9.2,7.8,6.72,6,,,,,
309,1/3/2020,17XX W Highland Ave,4.14,5.23,5.34,6.37,5.41,6.11,5.52,12.4,16.8,13.3,21.9,1.83,,,,,
310,9/22/2018,17XX W School St,3.5,4.38,5.89,5.52,4.84,4.18,4.26,3.68,3.44,3.25,3.42,3.07,,,,,
311,8/20/2019,17XX W Thorndale Ave,8.19,9.02,9.89,10.3,9.4,11.3,10.2,15.3,19.8,20.9,28.4,8.13,,,,,
312,12/9/2019,17XX W Wrightwood Ave,16.1,29.5,31.6,18.1,10.5,9.42,9.09,7.68,10.1,11.9,7.11,5.35,4.97,4.62,4.32,,
313,12/30/2016,18XX N Dayton St,5.93,8.04,10.6,10.2,19.5,23.8,24.9,25.8,27.3,28,26.3,4.8,,,,,
314,3/25/2017,18XX N Dayton St,7.18,8.45,15.1,17.3,18.2,17.7,16.9,17.7,17.9,16.4,14.8,11.3,,,,,
315,11/10/2021,18XX N Dayton St,6.4,5.8,5.9,6.1,5.8,6.2,7.1,7.4,8,8.3,20,19,19,3.1,2.8,,
316,7/16/2016,18XX N Dayton St***,9.75,14,15,16.2,22.6,27.2,27.8,29.5,29.2,25.4,28.4,21.8,,,,,
317,1/10/2017,18XX N Dayton St***,8.51,8.49,8.67,9.08,11.5,9.95,14.6,18.5,21.8,23,22.9,11.4,,,,,
318,1/10/2017,18XX N Dayton St***,6.47,6.74,7.03,7.23,7.72,8.32,8.59,8.93,12.6,17.4,15.8,10.8,,,,,
319,10/13/2016,18XX N Dayton St******,7.86,6.74,9.33,9.73,10.3,10.8,15.5,22.7,22,22.6,23.7,24.3,,,,,
320,1/10/2017,18XX N Dayton St******,10.8,8.3,6.89,7.06,6.78,6.55,6.75,7.29,8.67,13.3,16.8,12.3,,,,,
321,4/24/2017,18XX N Dayton St******,5.58,4.69,4.58,4.62,4.71,4.4,5.77,5.73,6.3,10.9,17.5,14.2,,,,,
322,7/24/2017,18XX N Dayton St******,5.42,4.14,4.2,4.33,4.27,4.62,5.26,5.72,8.33,15.1,17.6,18.7,22.4,3.41,3.08,,
323,6/4/2018,18XX N Dayton St******,5.36,5.32,5.14,4.74,4.49,4.31,4.65,4.92,6.2,11.3,15.1,15.8,16.2,3.53,1.94,,
324,10/13/2019,18XX N Dayton St******,7.86,6.74,9.33,9.73,10.3,10.8,15.5,22.7,22,22.6,23.7,24.3,,,,,
325,12/12/2019,18XX N Hudson Ave,7.29,7.35,7.17,6.58,6.35,6.86,6.45,6.11,6.88,8.14,11.2,11.7,5.96,2.4,1.81,,
326,10/30/2019,18XX N Larrabee ,4.78,8.75,9.98,8.48,5.68,3.25,1.59,1.18,1.2,1.11,1.04,0.978,,,,,
327,1/17/2017,18XX N Leaveitt St****,16.3,18.6,35.2,35.2,34.4,35.1,31.8,28,23.8,20.4,3.87,3.14,,,,,
328,5/2/2017,18XX N Leaveitt St****,14.2,17,23.4,20.8,20.8,19.6,18.8,19.5,17.4,15,5.34,4.66,,,,,
329,8/15/2017,18XX N Leaveitt St****,15.3,17.1,26.4,34.6,34,36.3,34.5,34.4,33.2,33.7,7.92,6.87,,,,,
330,10/5/2017,18XX N Leaveitt St****,9.76,10.8,21,37.9,38.3,37.7,36,38,38.8,37.8,26.5,6.65,,,,,
331,5/27/2021,18XX N Luna Ave,5.8,10,12,14,9.4,5.6,4.2,4,3.7,3.7,,3.4,2.8,2.1,2,1.9,
332,2/9/2022,18XX N Mobile Ave,2.6,25,3.7,6.6,10,10,8.8,7.6,7.2,6.3,6,2.1,1.6,1.5,1.5,,
333,3/13/2019,18XX N Mohawk ,9.02,9.77,10.1,9.97,9.4,13.6,20.9,22,24.4,24.1,20.6,13.5,4.51,2.32,2.02,,
334,1/24/2020,18XX N Mohawk St,9.02,9.77,10.1,9.97,9.4,13.6,20.9,22,24.4,24.1,20.6,13.5,4.51,2.32,2.02,,
335,12/13/2021,18XX N Natchez Ave,4.2,4.2,4.2,4.9,7.2,14,16,13,8.9,6.1,5.4,3.1,3,2.8,2.8,,
336,9/28/2021,18XX N New England Ave,4.1,5.6,8.9,6.4,7.1,7.8,6.5,6.6,7.6,7.8,10,5,,,,,
337,2/1/2022,18XX N Wilmot Ave,9.9,9.5,11,15,17,21,23,21,17,14,10,5.3,4.8,4.7,4.7,,
338,2/6/2019,18XX N Winchester ,10.8,10.8,6.18,5.99,5.76,4.43,5.9,4.94,2.78,2.18,1.82,1.59,,,,,
339,9/21/2019,18XX S Fairfield Ave**,11.2,10.9,16.3,36.4,30.7,28,20.3,20.7,20.7,19.3,17.1,6.48,5.97,5.71,8,,
340,9/28/2019,18XX S Fairfield Ave**,118,15,12.1,14.9,11,11,10.3,10,10.9,11.6,9.73,8.26,7.8,8.1,6.52,,
341,9/3/2019,18XX W 34Th St,6.12,7.33,10.6,11.8,12.8,30.9,38.4,36.2,27.6,20.8,7.43,6.8,,,,,
342,4/30/2016,18XX W Cuyler Ave,1.01,3.63,6.78,6.8,3.68,4.52,4.52,4.64,5.33,4.06,1.41,1.24,,,,,
343,7/26/2021,18XX W Estes Ave,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
344,8/27/2016,18XX W Wellington Ave,5.77,7,8.41,9.07,8.44,9.32,11.6,15.7,17.1,16.1,10.2,2.07,,,,,
345,11/5/2019,19XX N Bissell ,5.08,7.02,10.2,11.6,15.7,14.4,13.3,12.2,11.7,12.1,3.59,1.9,,,,,
346,1/14/2017,19XX N Dayton St***,3.12,3.02,2.7,2.47,2.21,2.54,11.6,15.3,14.1,2.31,1.14,1.03,,,,,
347,4/22/2017,19XX N Dayton St***,4.06,3.85,6.88,11.9,11.1,11.3,11.6,12.2,12.3,12,16.9,9.71,,,,,
348,12/22/2018,19XX N Dayton St***,10.6,8.54,12.4,14.5,15,15.4,15.6,16.2,16.7,16.8,24.6,11.9,5.11,1.25,1.11,,
349,3/1/2019,19XX N Harding ,5.62,8.64,7.8,12.6,6.77,5.8,5.49,5.04,5.3,4.8,3.51,2.78,,,,,
350,9/16/2019,19XX N Humboldt Blvd,20.5,8.26,7.45,7.34,8.01,7.53,6.95,6.52,6.47,5.94,4.27,3.97,,,,,
351,11/24/2021,19XX N Lincoln Ave,8.2,11.2,6.56,6.94,7.16,7.53,8.22,13,16.2,16.3,19.5,9.02,3.34,3.28,4.26,,
352,12/9/2021,19XX N Oakley Ave,8.9,9.46,8.85,8.47,7.9,10.8,22,24.2,21.6,19.8,4.23,1.38,1.18,1.03,0,,
353,11/9/2019,19XX N Wolcott ,3.75,6.39,7.72,11.3,9.87,8.47,7.93,7.89,7.56,6.13,8.11,,,,,,
354,3/19/2022,19XX S Loomis St,2.1,2.7,120,48,17,11,7.6,6.5,5.8,3.6,2,1.6,1.5,1.4,1.3,,
355,12/13/2016,19XX W 115Th St,3.88,4.54,4.9,5.69,5.78,5.81,5.78,5.7,5.28,4.66,2.81,0,,,,,
356,11/13/2019,19XX W Addison ,7.25,9.6,17.4,22,24.3,24,22.9,19.9,20,18.4,12.9,8.56,,,,,
357,1/27/2020,19XX W Addison St,0.67,0.55,0.67,0.7,0.78,0.78,0.85,0.75,0.65,0.65,0.61,0.57,,,,,
358,8/17/2018,19XX W Bradley Pl,3.89,4.86,4.89,5.69,8.31,10.6,10.1,10.5,11.7,12.1,12.8,4.32,,,,,
359,8/18/2021,19XX W Bradley Pl,4.03,6.79,8.49,3.26,3.99,5.26,5.11,8.8,10.1,10.9,2.57,1.76,,,,,
360,1/3/2019,19XX W Cornelia ,21.5,29.7,32.1,33.8,36.6,39.8,27.3,26.4,24.2,21.1,5.39,4.53,4.23,4,3.87,,
361,10/30/2019,19XX W Cortland ,5.9,4.43,4.51,4.64,4.76,4.13,3.47,3.5,2.97,3.21,3.78,3.41,,,,,
362,8/11/2021,19XX W Estes Ave,6.05,7.78,8.25,0.94,9.44,9.53,9.34,9.96,9.91,10.2,7.74,4.94,,,,,
363,10/7/2021,19XX W Evergreen Ave,9.05,10.7,17.8,20,18.6,19.5,19.2,19.8,15.9,9.19,7.64,7.02,6.74,6.68,6.42,,
364,7/22/2019,19XX W Fletcher ,16,17.2,13.5,13.7,16.1,19.5,23.5,22.2,19.8,17.2,5.79,5.22,,,,,
365,2/8/2022,19XX W Henderson St,4.1,5.96,7.43,5.09,3.28,2.51,2.18,2.04,1.91,1.78,1.69,1.47,1.41,1.35,1.2,,
366,8/9/2018,19XX W Nelson St,13.6,15.9,22.3,20.8,19.1,19.1,16,14.6,16.1,15.2,7.58,7.22,,,,,
367,3/22/2022,1XX E 117Th St,1.7,2.7,2.5,2.5,5.2,7.7,6.2,4.7,1.8,1.3,1,0.89,0.84,0.91,0.87,,
368,3/19/2022,1XX N Leamington Ave,120,220,74,53,42,38,39,35,30,25,12,8.6,,,,,
